source_split,source_id,text,emoji_type,emotion_group
train,5236,1967 mà cụ ông đẹp trai phong độ ăn mặc thời trang quá :)),emoticon,positive
train,31469,Đang nghỉ giải lao xem ván 3 thấy lợi thế lớn ăn đc baron rồi vào làm nghĩ thắng được TQ lụm hcd mà vừa làm vừa vui mừng đến khi tan làm ra xem thì lại thua buồn thật chứ :((,emoticon,sadness
train,5210,chân tao không đu ̉ da ̀ i đi ̉ đi con đươ ̀ người na ̀ y :((((,emoticon,sadness
train,30399,Vương Hạnh trùng tên ạ 🤣🤣,unicode,positive
train,72,hình như bồ tao cũng tập gym 😶😶,unicode,interest
train,2591,dume hẩy kiểu đó làm sao mấy bà kia ăn dô nữa 🙂,unicode,anger
train,tik023328,Tự hào 🙌 là ng con Việt Nam 🇻🇳🇻🇳🇻🇳🇻🇳,unicode,positive
train,tik001441,khủng 😁,unicode,positive
train,31046,"Hoàng Văn Công cũng chỉ vì miếng đớp vào mỏ thôi, ăn cho lắm vào rồi sán chó với gout nha. 🙂",unicode,anger
train,1934,rồi mấy đứa chân ngắn đi chắc dập người hết . bay qua sao nổi =)))),emoticon,positive
train,4378,tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓,unicode,positive
train,4434,kẻ ô điểm lời phê :((,emoticon,sadness
train,6056,cách anh ấy chạy thật là đàng ông quá đi mà 😂😂,unicode,positive
train,28109,"Thư Trần mình chx thấy ai retard joke xhtd về cô ấy. Mình thấy đa số là retard joke về 3-5 lần thôi, nếu có thì tôi xin từ chối nhận đấy là loài người nha bạn. Loại đấy thì tốt nhất bạn đẩy xuống dưới loài chó là loài homo retard joke nha :))).
2. Bạn đi bênh cô ny lm cái gì :))) ảnh hưởng đến bát cơm nhà bạn à, đây là người ta nói với top cmt về cô kia mà :))) (theo cái văn logic của bạn). Còn về vấn đề retard joke thì tôi nói r, 2 vấn đề khác nhau, tôi khuyên bạn ko nên gộp làm một",emoticon,anger
train,24003,"Nhân Nguyễn vậy khi nhà mày có tan có chuyện buồn mày cũng phải cười nha :)))) kể cả khi mặt mày bị ghệ bỏ hay mất ịa cũng phải cười nha 

Không thôi sợ cười của cải nhà mày bị ăn hết đó :)))",emoticon,anger
train,812,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,unicode,positive
train,you002994,Not dislike👌,unicode,positive
train,23836,may quá tôi lại biết từ năm tôi 21 tuổi 😀,unicode,positive
train,6662,"kéo bấc mòn cả tay , ma nghĩ lai thấy nhớ thời đó nhỉ 😂😂😂",unicode,positive
train,6007,boss có bộ đồ ngủ đĩ thõa ghê gớm 😅,unicode,anger
train,you002361,Em cảm ơn ❤️,unicode,positive
train,tik001500,Nghe đau lòng quá🥰🥲🥲,unicode,sadness
train,2598,sau vụ 200k thì vụ 5tr này có nội dung hài hước y hịt :)))),emoticon,positive
train,tik005608,Mơ là vậy tình rồi là khác 😍😍😍😳😳😳😳😂😂😂😂😅😅😅,unicode,sadness
train,tik021809,Chớ còn sao nói vs người không cùng tần số Im Lặng là Vàng ☺️,unicode,positive
train,1910,"per sợ chưa , ông bác hơi bị cứng nhé :))))",emoticon,positive
train,you005767,Giang cho anh hỏi em có ở Sài Gòn ko Giang.  Hôm nào rảnh cho anh mời em cốc cafe 😊,unicode,interest
train,you002651,"Cảm ơn chị Giang, em đang vùi mình trong tiêu cực đây..bây giờ em đang ngồi ngoài vỉa hè uống trà sữa ăn cá viên chiên nghe video của chị 😤",unicode,sadness
train,red000142,biết thế ngày xưa mua bitcoin 💀,unicode,sadness
train,491,cưng ghê ❤️,unicode,positive
train,2812,per thuê kiểm kê tài sản do toà án làm bạn ơi . 😂 cả 1 nùi người làm cật lực đấy .,unicode,positive
train,26578,Hồ Phi Hổ uây idol hổng chơi tịt tọt nữa gòi 😞,unicode,sadness
train,19729,10đ cho anh grab🫰🏻,unicode,positive
train,6172,per b trà ơi . năm nay là pải mạnh dạn và bất chấp nhé 🤣🤣🤣,unicode,positive
train,tik011511,Phải chi lúc đấy cố nốt c3 thì bh lương chục củ🥺,unicode,sadness
train,you000638,"Em hiện tại 23 tuổi, vẫn chưa biết mình là ai và tâm ko tĩnh chút nào. Nhưng mỗi khi xem video của anh, em lại dần tìm dc bản thân hơn một chút. Cảm giác như cuộc sống vẫn còn rất nhiều lời bỏ ngỏ, sẽ luôn có ánh sáng nơi cuối con đường (hoặc là ở giữa đường luôn) ^^ Cảm ơn anh nhiều vì những video như thế này, em không comment youtube baoh mà anh bảo thấy vui khi đọc comment nên là em làm :))",emoticon,positive
train,16725,Kể cái chết của Glen là tui cũng bớt hứng xem :))),emoticon,sadness
train,5322,"công ăn việc làm còn chưa ổn định , bố mẹ già còn chưa lo được thì kết hôn để làm gì 😪",unicode,sadness
train,13149,Ai cho mượn 1 cái ôm được không💔,unicode,sadness
train,you002425,"Em rất thích cách nói của chị, ngắn gọn mà sâu sắc. Cảm ơn những chia sẻ của chị, em sẽ thay đổi để trở nên tích cực hơn. ♡♡♡",unicode,positive
train,4591,loại cửa đó :))) cái khung sắt cứng không tả nổi . đen lắm bung cả cửa ra thôi .,emoticon,anger
train,16674,Kết câu cuối lắm nha. :))₫,emoticon,positive
train,you000799,Ngồi chờ anh ra video mà lâu quá 😂 lần nào xem cũng nhận được năng lượng tích cực và tràn đầy tâm huyết của anh❤,unicode,positive
train,6859,tội cho cô gái ;((,emoticon,sadness
train,tik005451,Má ơi 🤔🤔,unicode,interest
train,17293,Đức Trần vc bạn so người trưởng thành với học sinh :)),emoticon,anger
train,you005709,Từ từ để cái não 2G loag cái đã😑,unicode,anger
train,1456,bản thân quá hạnh phúc khi trong cs này rất . rất nhiều người mơ ước được như mình hiện tại . 😊😊😊,unicode,positive
train,tik019235,Nói nhiều mệt 🥰,unicode,positive
train,2742,tự dưng cụt con mẹ nó 1 tay trong 66 năm 😂 chả để làm đéo gì . nhìn bẩn bựa vkl 😂,unicode,positive
train,30456,Cụ mãi đỉnh ☝🏻☝🏻☝🏻,unicode,positive
train,you001818,"Chị nói đúng quá 😗. Trc khi xem vid của chị , mỗi khi cáu giận 1 cái gì đó việc đầu tiên em làm là uống 1 cốc nước thật lớn nó thật sự giúp mk giảm bớt những thứ suy nghĩ tích cực ❤",unicode,positive
train,1253,"giờ bà già lắm rồi , nhổ sợ hết tóc , nghĩ tao lại thấy buồn quá 😞😞",unicode,sadness
train,you000211,5 lần Đại Việt chiến thắng đế quốc Khmer quả là đáng tự hào ❤❤❤,unicode,positive
train,5814,đm rơi mẹ điện thoại xuống đất 🙃,unicode,anger
train,19288,"Sáng nay mình đi kiểm tra lại ở từ dũ , kết quả đây mn ạ 🙃🙃🙃 
Mình xin phép che thông tin cá nhân để tránh phiền phức không đáng có ! Mong mn thông cảm và cùng đồng hành cùng mình
Mong mn cùng Like đẩy cmt lên top ạ",unicode,fear
train,1041,"chuẩn rồi . nhiều khi mệt muốn xỉu , xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự",unicode,positive
train,3417,"bữa tao coi cái video này nhưng nó ghép nhạc bựa vãi ... mỗi lần mỗi anh té là first blood , double kill ,... các kiểu =))))",emoticon,positive
train,3164,"học xong cấp 3 , ngoài mừng vì được thoát khỏi đó thì không hề có lưu luyến 1 chút nào :))))))",emoticon,positive
train,1859,có đứa nào hồi bé không biết nấu còn tranh làm rồi quên không đổ nước như tao không :))),emoticon,sadness
train,23091,Nguyễn Diệu Ly vậy t sẽ đặt tên con là tên ngyc để mỗi lần nó hư t đánh đít giống như đang đấm thằng ml nyc 😊,unicode,anger
train,13122,Suy...😭,unicode,sadness
train,6276,"per nhớ ngày xưa gần nhà mày có đàn ngỗng , tụi khốn nạn đó toàn đi dàn hàng ngang chắn hết đường hết lối , mỗi lần tao đạp xe qua là rượt tao gần chết :v ám ảnh vãi",emoticon,anger
train,6835,tao biết tao mà đi gia sư thì con nhà người ta sứt đầu mẻ trán nên cũng không ham hố dạy với chả dỗ gì :))),emoticon,anger
train,2413,bình tĩnh vãi_chưởng =)),emoticon,positive
train,20015,1 dạng tội phạm bẩm sinh 🤔,unicode,interest
train,6308,"thôi đi cháu , chưa đủ tuổi thì đừng mê trai , đừng đẩy con nhà người ta vào tù :v",emoticon,anger
train,2290,gắt quá nha 😂,unicode,positive
train,tik011196,Nội mình mất rồi nhớ lắm🥺,unicode,sadness
train,4786,đã bảo cho tôi đi trước rồi mà không chịu . :v,emoticon,anger
train,5434,"vậy đấy , thế nên con gái mới toàn bị lừa =)))",emoticon,anger
train,31390,"Hay rồi mn ơi, về nhà thôi ❤️",unicode,positive
train,tik017878,a hú hu hu t xấu nhg ko ngại mng thấy mặt t dày khommm 🥰,unicode,positive
train,628,phim kinh dị vào cái trời âm u 😒,unicode,fear
train,1638,"per anh không nặn đi , mai mốt nó sẽ chaii dầy nè hihii :)))",emoticon,fear
train,6837,con bé bị tát trong hình là em gái mình thì không biết mình sẽ làm gì bọn này nữa 🙂,unicode,anger
train,3429,xiaolin không có gì vui . chúng ta không nên xiaolin 🙄🙄,unicode,anger
train,tik022028,@tanh🎱 ko bt có đúng ko,unicode,interest
train,tik023573,@yenvyhoang29 Tự hào 🥰🥰,unicode,positive
train,you001718,em rất buồn và có lúc vui lúc em đang buồn em nghỉ đến điều ko tiêu cực thì lại vui mà 1 hồi lại buồn nữa haiz em làm như chị bảo đúng là đơtr thiệt nhưng mà khi em nghỉ lại chuyện đó em lại buồn nữa rồi ý 🙃🙂🥰🤩☺🥲😐😑😶🥺😭 em cảm thấy tội lỗi quá 1 lúc sau em hết buồn rồi nè😆em cảm ơm chị😘,unicode,sadness
train,18155,"😭 đau xót quá chị ơi, xin chia buồn cùng gia đình chị ạ🥲🥲",unicode,sadness
train,31438,Vậy là hay lắm òi :3 tui còn k tin game 1 đánh đc như vậy mà,emoticon,positive
train,18200,Xin chia buồn cùng gia đình ạ. Mong linh hồn e sớm siêu thoát ❤️,unicode,sadness
train,3544,anh thíck kiểu tra tấn hằng ngày :))),emoticon,positive
train,2734,quan trọng là có con đồng nghiệp đầy khẩu nghiệp yến đặng 🤣🤣🤣,unicode,positive
train,tik022212,@sex thaatj tuyeetj khi cos e🏐 ae mình còn chối đc chứ tk đạt ko chối đc,unicode,positive
train,tik017644,"cố lên mấy bạn ơi😭 mình sinh ra chưa có ai là hoàn hảo cả,cuộc đời là sự sắp đặt mà,happy lên mọi người oi😋",unicode,sadness
train,you001636,Đã làm tất cả nhưng ko thoát được 😔😔😔,unicode,sadness
train,tik023876,Và Cái Quan Trọng Nhất mà chúng ta đạt được trong những năm qua là :Tinh Thần Đoàn kết Dân Tộc Và Niềm Tự Hào Mãnh Liệt Của Toàn DânNgàycàng đi lên🇻,unicode,positive
train,tik023212,Tự hào là người Việt Nam❤️❤️,unicode,positive
train,tik011175,xưa nhớ quá nội dẫn đi mua bánh mua này mua kia h còn đc như kia ☹️☹️☹️,unicode,sadness
train,you002427,"Những điều này sẽ vô cùng hữu ích đối với em ngay lúc này. Vì em đang lẫn quẫn trong những suy nghĩ tiêu cực không đáng có ấy và sau khi xem được những chia sẻ này, nó giúp em có hướng ra cho cái vòng lẫn quẫn tối tăm trong những ngày vừa qua. Cảm ơn chị ❤❤❤",unicode,positive
train,1583,cách tạo nghiệp chướng nhanh và hiệu quả :)),emoticon,positive
train,21986,Để dành đi comment dạo hèn gì t hay bị ăn hiếp🥺,unicode,anger
train,tik012260,Hối hận vì vội vàng trong hôn nhân 😌 @@ve1994,unicode,sadness
train,6343,:))) ai hỏi mày :vv,emoticon,positive
train,20869,Trần B.Chiêu Nhìn mặt thằng đó là biết nó biến thái rồi :v,emoticon,anger
train,2281,"thâ ̣ tao ra thi ̀ nê ́ u 1 thă ̀ người con trai no ́ yêu mày va ̀ coi tro ̣ người mày , câ ̀ n mày thi ̀ mày co ́ qua ́ i thai thê ́ na ̀ o no ́ cu ̃ người chi ̣ u đươ ̣ c va ̀ cô ́ gă ́ người la ̀ mày mày vui 🙂",unicode,neutral
train,3559,má tự dưng bị đánh vào đầu :(,emoticon,anger
train,1902,dume con ế đọc tổn thương sâu con mẹ nó sắc :((,emoticon,sadness
train,1957,ngây thơ vãi =)),emoticon,positive
train,27288,Leanne Hồ nskaksjjsksjsjskks t ước mình chưa đọc cmt này 🙂 rồi tối nay sao ngủuuu,unicode,sadness
train,tik017055,Dúngđó😌,unicode,positive
train,28908,"Trai tài gái sắc
Đi tù là nhất
Làng trên xóm dưới 
Ai cũng ngở ngàng 😂😂😂",unicode,positive
train,5253,t mong nó té quá chời :v,emoticon,positive
train,2553,per :)) hiểu được nỗi lòng anh chưa ! mốt đừng giận anh nhiều nữa nha,emoticon,positive
train,6961,Bảo Yếnn share cho ai đó nhột đi :)),emoticon,positive
train,5537,bạn đã hiểu nổi khổ của mario khi mua vui cho bạn chưa :)),emoticon,positive
train,tik011721,𝐬𝐚𝐢 𝐧𝐡ấ𝐭 𝐥à 𝐫𝐚 đờ𝐢 ở 𝐭𝐮ổ𝐢 15 ☺️,unicode,sadness
train,tik017384,y chang t🙏,unicode,positive
train,3499,per nhờ mất bạn nên mình mới biết 😂😂😂😂,unicode,sadness
train,23432,"Quỳnh Chi thì ra là ăn chán phở rồi mới về ăn cơm, chứ nó mà ngon chắc còn gọi về ăn nhiều🌚",unicode,anger
train,26252,Lê Hồng Nhung 2k5 ạ :((,emoticon,sadness
train,32133,Trần Văn Khánh nó cũng là cái chỗ kỷ niệm mà a😁,unicode,positive
train,4618,yêu sắp 2 năm rồi mà không biết người yêu kể chuyện cho nghe là gì 😢 đòi mấy lần toàn kêu không bình thường xịu xịu,unicode,sadness
train,3072,hỏng xe và phải đền tầu hỏa . có thể phải đi tù nếu gây hậu quả nghiêm trọng . đầu đất là có thật . 😔😔😔😔,unicode,sadness
train,you001472,Bài giảng rất hay và hữu ích ạ. Em cảm ơn 😍,unicode,positive
train,you000740,Cảm ơn a vì video hay ạ❤,unicode,positive
train,17303,"Đông Tà sách giáo khoa, sách bài tập, bảng, phấn, bút màu, thủ công, chả biết bên trong có gì mà cặp ngày nào cũng to :V",emoticon,positive
train,16770,Công nhận..coi Glen chết hết hứng coi phim luôn. 😑,unicode,anger
train,3363,chơi cái kiểu này nè :)) per,emoticon,positive
train,tik022953,"tự hào 2 tiếng "" Việt Nam "" ❤🗾",unicode,positive
train,tik015103,"cảm giác như ngta nhìn thẳng vào mặt mình ngại thật, tớ cũng muốn có nhan sắc 😞",unicode,sadness
train,2489,"sao mày không như crush của tao , thuỷ triều lên cũng đéo sợ nhé 😆",unicode,anger
train,4870,tao đã đóng dấu cấm đứa nào rớ vào =)))),emoticon,anger
train,30916,Chiều này đi nam định đúng mà Tđn từ trước đến giờ mình nhầm à. Đi nam định ninh bình phải sang làn kia chạy lên pháp vân quay ngược lại🤔🤔,unicode,anger
train,947,per nhìn mặt hài vler :))),emoticon,positive
train,tik014927,mặt mụn khiến t ngày càng ngại giao tiếp vs mn ko dám nhìn thẳng vào mn khi nch luôn pk đeo ktrang ms dám ra ngoài 😞,unicode,sadness
train,27297,:)) hic còn mình thì tầm nửa đêm gần sáng bỗng tỉnh dậy buồn đi vệ sinh đi qua cái gương thấy xinh quá phải đứng lại soi 1 lúc rồi mới đi ngủ tiếp,emoticon,positive
train,tik001487,"Trời ơi 🤦🏻‍♀️thật sự muốn gào thét lên, thương quá mình khóc luôn 😪ko biết làm cách nào mình gửi Vc a chị ấy chút tiền ko????chính chủ kênh ơi sao ll dc với bạn vậy",unicode,positive
train,tik013260,mình biết chọn kiểu gì cũng sẽ phải hối hận ☺️,unicode,sadness
train,20415,Duc Anh Nguyen trời ạ 😫,unicode,interest
train,4556,và rồi cô ấy sẽ mãi mãi không có người yêu =((,emoticon,sadness
train,28506,càng tỏ vẻ mạnh mẽ không có gì bên trong càng là sự bất ổn😭😭,unicode,sadness
train,you002218,Tra Google =))) best way :))),emoticon,positive
train,13358,Henry Lai nó lấy địa chỉ lung tung hoặc nó đi thuê nhà thì sao b ơi 😅 lại thêm nhiều người khổ vì nó 😶,unicode,positive
train,3373,tội còn nặng hơn cả khẩu nghiệp nữa 😌😌😌,unicode,anger
train,3140,như con đười ươi :)))))),emoticon,positive
train,2756,nhỏ ngầu lớn lên nhìn bê đi =))),emoticon,positive
train,18163,Trời ơi k tin dc. Thương quá c ơi :((,emoticon,sadness
train,tik022949,tự hào hai tiếng VN🙆‍♀️❤,unicode,positive
train,13332,Chúc bạn bom hàng ỉa chảy đến chết 🙂,unicode,anger
train,24846,Quốc Lập đồ đệ tao á 😂,unicode,positive
train,23984,Anh Nam đẹp quá :)),emoticon,positive
train,tik023572,Tự hào là con cháu VN🥰,unicode,positive
train,you002215,Yêu chị😍. Video của chị luôn bổ ích 👍🏻,unicode,positive
train,you004767,Thì ôg già đó kiệt r sao có con đc nx🤡🤡🤡( <b>JOKE</b> ),unicode,positive
train,28404,"Tiết kiệm vừa thôi, tiết kiệm quá là không nên😋",unicode,anger
train,27284,Leanne Hồ đang nằm nghiêng 1 mìnnh đọc cmt xong nằm ngửa luôn =)),emoticon,positive
train,6196,con nai vàng ngơ ngác 😔,unicode,positive
train,31650,"Đúng thật là bày vẽ, nào giờ mình vẫn ko cho cái tục phóng sanh này là hay :))))))",emoticon,anger
train,26959,Dương Lan Phương hôm qua có 1 bài lại khai nt đó :((( con này nó đưa ngta lú từ chỗ này lú sang chỗ khác luôn 😆,unicode+emoticon,anger
train,x001188,"@Gocnhocuabo Mỗi lần qua đây, ngắm 2 nhóc tỳ này là thấy thoải mái hẳn 😗",unicode,positive
train,you004200,Tập cho nó chạy xe xong cả tháng gặp mặt nó đc vài lần😅,unicode,positive
train,20431,Team trà sữa ko trân châu điểm danh. Đời t ghét nhất ăn trân châu nhưng add on phô mai viên thì ăn😋,unicode,anger
train,27280,"Mardoll Tee Aitch sao vậy, tôi lại thích nghe tiếng tụng kinh lắm cảm giác nhẹ nhàng và yên bình(?), vì thế nên tôi thích đi chùa như kiểu ngăn cách với mọi áp lực bên ngoài í 🥲",unicode,positive
train,2107,per đến con nít chúng ta cũng không bằng là sao ......... tuổi thơ và tuổi thanh xuân nợ chúng ta quá nhiều thứ rồi 😭😭😭😭,unicode,sadness
train,23449,Tưởng đâu bắt quả tang đi ngoại tình 😆😆😆,unicode,positive
train,16614,Bị lặp lại 1 đoạn á Xíu ơi 😁,unicode,positive
train,11509,Chuyển giới để vô địch 😂,unicode,positive
train,tik001714,E mà có tiền nhất định e sẽ kiếm tới nhà ac này 🙏🙏🙏,unicode,positive
train,tik023606,mãi yêu 🇻🇳🇻🇳🇻🇳🇻🇳🇻🇳,unicode,positive
train,11778,Trên đời này làm gì có người như thế🤭🤭🤭,unicode,positive
train,16709,"Low Tech chuổn, Glenn hẹo là coi như hết film :))",emoticon,sadness
train,6520,coi phim này mà ứa nước mắt 😢,unicode,sadness
train,3650,lông chân mọc nhanh thế :)),emoticon,positive
train,6590,ai đó hãy tát trà sữa vào mặt tao đi 😭😭,unicode,sadness
train,4488,"từ không tật nguyền , trở thành tật nguyền để nuôi mấy cái không đáng :))))",emoticon,anger
train,6000,chúc bạn có một ngày vui vẻ 😳,unicode,positive
train,tik023017,tôi luôn tự hào là người Việt Nam 😳,unicode,positive
train,tik021455,tiếc là tôi ko cs😢,unicode,sadness
train,tik009472,"Tự nhiên nhớ ngoại t ghê, xưa cũng hay xin ngoại vậy á 😔 giờ ngoài mất rồi về😔",unicode,sadness
train,25703,Vũ Tũnn lại cái văn đổ thừa của bọn thất bại này 🤣,unicode,anger
train,tik012043,Tôi không hối hận về những thứ tôi đã làm.😊,unicode,positive
train,30804,Con mẹ nó đầu chứa cứt hay gì z😒,unicode,anger
train,169,per vẫn là con mẻ . nay hàng họ to quá ;)))),emoticon,positive
train,tik017836,Có nhan sắc nên làm gì cũng ngại 😇,unicode,sadness
train,5412,per thế thì nhà nào bầy hàng họ ra vỉa hè thì mình được đuổi đúng không cụ =))),emoticon,anger
