split,id,margin,direction,emoji_pol,gold,gold_pol,markers,text
test,5204,0.9058,emoji_NEG->gold_POS,NEG,positive,POS,😢,sư phụ giả vờ ngã để thử lòng các đồ đệ và cái kết ngã sấp mặt luôn 😢
train,2280,0.8929,emoji_NEG->gold_POS,NEG,interest,POS,😭,per thật sự là có cách nào dắt bé đi theo được không ? 😭
train,28545,0.8929,emoji_NEG->gold_POS,NEG,positive,POS,😭,ổng đúng hay cười luôn lúc nào cũng cười lun í 😭 tr ơi moonbin của tôiiiiiii
train,tik023946,0.8929,emoji_NEG->gold_POS,NEG,positive,POS,😭,@𝙅𝙄𝘾𝙊♡  giỏi quá 😭
val,1777,0.8929,emoji_NEG->gold_POS,NEG,positive,POS,😭,"xem đi xem lại không chán , best của best 😭"
train,6196,0.8571,emoji_NEG->gold_POS,NEG,positive,POS,😔,con nai vàng ngơ ngác 😔
train,tik014108,0.8571,emoji_NEG->gold_POS,NEG,positive,POS,😔,cho mình biết c đọc trong video là ai đc k ạ? mình thích giọng điệu của c ấy 😔
train,2318,0.8571,emoji_NEG->gold_POS,NEG,positive,POS,😔 😔 😔,cứ thấy nó là ăn không còn xác thì lấy gì chúng kịp phá . nhìn thèm ứ chịu được 😔😔😔
train,4490,0.8571,emoji_NEG->gold_POS,NEG,interest,POS,😔,tìm đối tác 😔
train,6721,0.8571,emoji_NEG->gold_POS,NEG,positive,POS,😔,con mong cụ cuộc sống sẽ tốt hơn 😔
train,tik007402,0.8571,emoji_NEG->gold_POS,NEG,interest,POS,😔,mình ước gì cx đc bà nội tiền 1 lần 😔
train,red000048,0.8511,emoji_NEG->gold_POS,NEG,positive,POS,😥,"Con trai con gái, ng trẻ ng lớn nào mà chả như nhau, đều có quyền bộc lộ cảm xúc của mình mà. Chị thấy việc khóc ra nó còn tốt hon so với việc cứ ôm những cái uất ức trong lòng í. Ai hiểu đc thì ngta san sẻ với mình, ko hiểu đc thì thôi em ạ. Làm sao em thấy thoải mái trước đã, sống theo ý kiến của ng khác mệt mỏi lắm 😥"
train,27280,0.8283,emoji_NEG->gold_POS,NEG,positive,POS,🥲,"Mardoll Tee Aitch sao vậy, tôi lại thích nghe tiếng tụng kinh lắm cảm giác nhẹ nhàng và yên bình(?), vì thế nên tôi thích đi chùa như kiểu ngăn cách với mọi áp lực bên ngoài í 🥲"
train,tik011646,0.8283,emoji_NEG->gold_POS,NEG,positive,POS,🥲,ko tức giận nhất thời thì tốt r 🥲
train,21535,0.8283,emoji_NEG->gold_POS,NEG,positive,POS,🥲,Phương Nghii hồi đó xem chị ơi đi hàn quốc thích paris baguette lắm🥲
train,17270,0.8283,emoji_NEG->gold_POS,NEG,positive,POS,🥲,Quynh Annh áp lực quá thì chạy về vs a🥲
train,28063,0.8283,emoji_NEG->gold_POS,NEG,positive,POS,🥲,"Hội Vũ úi
Câu nói này được, xịn quá 🥲"
val,19686,0.8283,emoji_NEG->gold_POS,NEG,interest,POS,🥲,Phan Hữu Lợi chú grap có con zai ko ạ🥲
val,you002596,0.8148,emoji_POS->gold_NEG,POS,fear,NEG,😍,"Những ngày cuối cùng của lớp 12 và kì thi THPT Quốc gia đang đến dần, căng thẳng áp lực, có suy nghĩ tiêu cực,... em cần những video như thế này 😍"
train,you002276,0.8,emoji_POS->gold_NEG,POS,sadness,NEG,❤,"Bố mình là một người tiêu cực,mỗi khi mà mình quyết tâm làm một cái gì đó, bố mình luôn là người khiến mình phải phân vân lo lắng rằng mình sẽ chẳng thể làm được, nghi ngờ về giá trị con người mình và cảm thấy mình thật vô dụng.Có những lời khuyên của chị Giang giúp mình có thể vượt qua. Yêu chị❤"
train,you002306,0.8,emoji_POS->gold_NEG,POS,sadness,NEG,❤ ❤,"Thực sự cảm ơn chị vì đã làm ra cái vid này , em vừa mới biết điểm thi của môn toán môn em học không giỏi và điểm cũng tệ...em đang rất buồn và lo lắng hầu như toàn snghi tiêu cực, em cảm ơn chị vì đã giúp em có một snghi khác hơn và tích cực hơn❤❤"
train,tik011601,0.8,emoji_POS->gold_NEG,POS,sadness,NEG,❤,hối hận cx đã muộn rồi gáng bước tiếp thôi❤
test,you000970,0.8,emoji_POS->gold_NEG,POS,anger,NEG,❤,Mọi video của anh rất hayyyyy thật sự hay lun á nhưng mà em góp ý xíu là mình chèn ít qc thôi ạ kiểu đang tập trung mà gặp qc khiến em bị mất tập trung vô video của anh á ❤
train,18200,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️,Xin chia buồn cùng gia đình ạ. Mong linh hồn e sớm siêu thoát ❤️
train,you001917,0.7786,emoji_POS->gold_NEG,POS,fear,NEG,❤️ ❤️ ❤️,"Cảm ơn c đã có video hữu ích này, mấy bữa nay e quá là áp lực và tiêu cực về công việc, mặc dù e là người luôn vui vẻ nhưng mà cũng không tránh được việc thường xuyên bị áp lực ❤️❤️❤️"
train,16670,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️ ❤️ ❤️,"Thôi ráng cực xíu cho mẹ mau khỏe. Ráng học mốt thành tài, chứ chạy ba gác như chú vất vả lắm á! ❤️❤️❤️ nhớ ba mẹ quá"
train,you001872,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️,"Hôm nay là ngày mình tiêu cực mệt mỏi kinh khủng. Nhấc cây viết lên suy nghĩ để làm bài tập vượt qua mấy tháng cuối để thi đh, mệt tới mức ai hỏi gì cũng k muốn trả lời mình đã khóc rất nhìu cho đến khi xem hết video này. Cảm ơn chị Giang ❤️"
train,you002809,0.7786,emoji_POS->gold_NEG,POS,fear,NEG,❤️,E đang loay hoay trong một đống nỗi lo sợ. Yêu c❤️
train,4096,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️,ước gì ba còn sống để làm điều đó với má . nhớ ba ❤️
train,16066,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️,Cảm ơn chị đã giúp chú. ❤️ chú đúng là người đáng thương
train,31030,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️,"Vẫn thương bác tài ô tô, hi sinh cả cái xe ❤️"
test,24824,0.7786,emoji_POS->gold_NEG,POS,sadness,NEG,❤️,❤️rớt nước mắt
val,2233,0.7308,emoji_NEG->gold_POS,NEG,positive,POS,😪,đợi đến ngày họp lớp đi 😪
train,5328,0.72,emoji_NEG->gold_POS,NEG,interest,POS,🙁 🙁 🙁,sao đúng bài mày kết vậy 🙁🙁🙁
train,4378,0.7083,emoji_NEG->gold_POS,NEG,positive,POS,😓,tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓
train,tik022511,0.7083,emoji_NEG->gold_POS,NEG,interest,POS,😬,tại ko bt nói j 😬
val,2324,0.7083,emoji_NEG->gold_POS,NEG,positive,POS,😬,mặt con mèo giải trí dữ 😬
train,tik007404,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰 🥰,"ước gì nội cũng thương tui như thế này, từ nhỏ tới giờ tui chỉ có ngoại thương tui thôi🥰🥰"
train,tik000288,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,sorry bà nha áo tui hơi giãn á🥰
train,you002100,0.7053,emoji_POS->gold_NEG,POS,fear,NEG,🥰,"e vừa thi giữa kì và đối với em điểm số là một cái gì cực kì quan trọng nên khi làm k được như í mình em cảm thấy tồi tệ cực kì, tình cờ xem được video này của chị e thấy yên bình hẳn 🥰"
train,tik011941,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,hối hận nhất đời này là e bỏ lỡ mất anh🥰
train,tik021618,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,t sợ nói ra nó mắc cỡ 🥰
train,tik011494,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,"hối hận vì bỏ đoạn tình cảm này, và hiện tại sắm phải nhìn anh ấy đi lên lễ đường cùng cô gái khác, nm chắc chắn tôi không hối hận vì bỏ anh để chọn sự nghiệp.🥰"
train,tik024162,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,có 2 khứa nước ngoài đang ngồi thấy thế ngại quá đứng dậy liền 🥰
train,tik023358,0.7053,emoji_POS->gold_NEG,POS,anger,NEG,🥰,Gạo Thái Lan mới là hàng đầu thế giới nha Việt Nam chỉ đứng sau Thái Lan thôi 🥰
train,tik018489,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,mặc gì lên người vẫn không qua mặc cảm 🥰
train,you000600,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,"Vì anh nói rất thích đọc comment và luôn đọc hết comment nên em xin phép comment để nói rằng kênh youtube của anh quá là tuyệt vời lun ạ. Em xem video đầu tiên của anh khi học năm nhất để viết essay về financial crisis 2007-08. Giờ năm cuối sắp ra trường, đang apply công việc và gặp nhiều thất bại, trải qua nhiều sự thất vọng huhu nên khi xem video nè em thấy được motivate lắm ạ. Cảm ơn anh vì bài học về sự kiên trì, dám nghĩ dám làm ạ. Em chúc anh luôn hạnh phúc vui vẻ để ra nhiều video nha 🥰"
train,tik003465,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,"Nhìn mà xót , nghỉ lại mình z mà còn hơn nhiều hoàn cảnh … 🥰"
train,you001738,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,"Cám ơn c . E mới phát hiện ra bệnh ngày hôm qua  và e cũng khá tiêu cực . E cũng nghĩ đến kết quả xấu nhất , rồi cũng khóc. Nhưng đúng như c nói, e đã dậy, ra ngoài ăn uống, chơi cùng con e , nằm trong vòng tay ck e ngủ 1 giấc. Sáng nay e vẫn bắt đầu 1 ngày mới bằng cách viết ra những gì mình phải làm để điều trị bệnh của mình. Và e đã hoàn thành mọi việc phải làm hôm nay. Tối nay chỉ còn việc sắp xếp cữ thuốc mai mình phải uống và những công việc mai mình phải làm . Cám ơn c nhiều 🥰"
train,tik015046,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,nhục nữa 🥰
train,tik000409,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,Sory bà nha áo tui hơi giản á🥰
train,tik011652,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,giá như không nghe lời người khác không phải như vậy rồi🥰
train,16767,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰 🥰 🥰,"Mình ko thể nào quên đc cái chết của George O’Malley. Mọi người nên xem Grey’s Anatomy nhaaaa, xuất sắc 🥰🥰🥰"
train,tik012946,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,Cái giá của trưởng thành nó đắt quá. Tiền tiền tiền gì cũng tiền ta tự hỏi đồng tiền nó làm ta khổ vạy sao🥰
train,tik011641,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,Nếu biết trước “giá như” thì con ng ta đã kh khổ rồi 🥰
val,tik002277,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰 🥰 🥰,thấy vợ chồng anh này mình ko giám xài tiền luôn thấy mà đức ruộc cô chú anh chị ôi mình nên sài tiền đừng phun phi khi ko cần thiết 🥰🥰🥰
val,tik020862,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,t là vừa ngại vừa kh bt kh có j để nói với lại t bị căng thẳng🥰
val,tik022765,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,nhiều khi sợ quăng miếng lãng xẹt thì cuê nên thôi nín nào bét phen pho re vờ thật sự t ms nói🥰
val,tik000232,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,"sorry con nha, cô hơi nhớ nghề á 🥰"
test,tik021241,0.7053,emoji_POS->gold_NEG,POS,sadness,NEG,🥰,"Giao tiếp kém , không giỏi ăn nói , dễ mất lòng 🥰"
test,tik003382,0.6903,emoji_NEG->gold_POS,NEG,interest,POS,😳 🥺 🥺 😭 😭 😭,😳trời ơi 🥺🥺😭😭😭
train,5921,0.6875,emoji_NEG->gold_POS,NEG,positive,POS,😏 😏 😏,chuẩn 😏😏😏
val,29730,0.6875,emoji_NEG->gold_POS,NEG,positive,POS,😏,Hồng Phú t thì k có điều kiện đi nước ngoài nhưng xem youtube và nhiều đoạn phim ngắn thấy nước đức xe mẹc chạy taxi đầy đường😏
train,tik011626,0.6843,emoji_POS->gold_NEG,POS,sadness,NEG,👍 🥰,"Nhiều người nhắc tôi đi làm đừng có hiền, hèn nhát như vậy, để đến cuối cùng bị chèn ép đến nghỉ việc, nhưng tôi biết làm sao? Tôi k nói được, chỉ nghĩ im lặng r nó sẽ qua, chỉ nghĩ gia đình kì vọng mình chứ ngta k kì vọng mình, nói chung là sau tất cả, nhịn đôi lúc không phải là tốt👍🥰"
train,19690,0.6633,emoji_POS->gold_NEG,POS,anger,NEG,👍 👍 👍 👍,"Nguyen Huu Tai Ổng chụp cái, ông té luôn, nhìn cái quả cuối rất cảm động,trong khi quá trời xe đậu xem mà không ai túm lấy ông trộm.👍👍👍👍"
train,20861,0.6633,emoji_POS->gold_NEG,POS,anger,NEG,👍,"T xem mà t cũng khó chịu thay
Đồng quan điểm với anh CA ! 👍"
train,tik021984,0.6633,emoji_POS->gold_NEG,POS,fear,NEG,👍,sợ nói ra quê 👍
train,tik021146,0.6633,emoji_POS->gold_NEG,POS,sadness,NEG,👍,t k có bạn👍
train,tik021291,0.6633,emoji_POS->gold_NEG,POS,sadness,NEG,👍,"t ko ngại nói, nhưng lời t nói toàn làm t mất bạn , nên hóa hướng nội luôn cho lành👍"
val,tik015909,0.6633,emoji_POS->gold_NEG,POS,anger,NEG,👍,vậy sao thay vì than phiền nhan sắc không chăm sóc lại bản thân đi 👍
val,tik020873,0.6633,emoji_POS->gold_NEG,POS,anger,NEG,👍,Thằng nào còn nhận là bạn thằng đó chưa thân 👍
train,tik006506,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺,"nhìn lại mình thật may mắn, tuổi thơ được trọn vẹn bên nội càng lớn càng ngộ ra phải biết trân trọng nhiều hơn nữa 🥺"
train,tik001627,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,Hồi lúc chưa đi làm mình cũng sài tiền phung phí lắm.từ lúc ra tự buôn bán mua gì cũng suy nghĩ kỉ 🥺
train,tik014705,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,ai hộ tớ vd ghim đk ạ🥺(có trả)
train,tik015647,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,Đôi khi mk nên tự hào về nhan sắc của bth 1 chút 🥺
train,tik013398,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,mấy anh chị ngoài 30 trả lời có đúng như vậy ko ạ🥺
train,14174,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺,Văn Phúc muốn đi coi🥺
train,tik011950,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,Lấy ck ạ🥺
train,you001672,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺 🥺 🥺,Em đã từng quá nhiều cảm giác này và em đã vào bếp và định kết liễu đời mình luôn.Nhưng khi em xem clip chị thì em mới đỡ dc🥺🥺🥺
train,16603,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺 🥺,Tan chảy 🥺🥺
train,tik002333,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺 🥺 🥺,xưa mình cũng đã từng như ac giờ nhìn lại mình còn mai mắn hơn ac a ôi e có quần áo củ muốn gửi cho ci thì phải làm sao ạ..🥺🥺🥺
train,tik013612,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,bật lưu dc ko ạ 🥺
train,tik017556,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺,tự tin lên mấy bà ui🥺
train,tik023994,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺,Chả hiểu sao cứ nghe Quốc ca là rưng rưng 🥺
val,tik014420,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺 🥺,sao cứ chuẩn chuẩn sao sao í 🥺🥺
val,tik014633,0.65,emoji_NEG->gold_POS,NEG,interest,POS,🥺,ủng hộ cover toi với🥺
test,16618,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺,dễ thương qóoo 🥺
test,24547,0.65,emoji_NEG->gold_POS,NEG,positive,POS,🥺 🥺,Trần Nguyên coi nèeeee. Đi hoang sơ thích hơn 🥺🥺
train,602,0.6286,emoji_POS->gold_NEG,POS,sadness,NEG,😘,bà về nơi phương xa mất rồi . nhưng với tớ bà là người dễ thương nhất trên đời . chỉ muốn ngả vào lòng ngoại nghe kể về những câu chuyện cổ 😘
test,you002381,0.6286,emoji_POS->gold_NEG,POS,fear,NEG,😘,"Chị ơi e đang chuẩn bị thi THPTGQ khá áp lực trong chuyện học tập , cứ đặt lưng xuống là lại nghĩ k đỗ đại học dằn vặt làm giấc ngủ không được tốt , mất 1 lúc lâu để có thể chìm vào giấc ngủ được, nhưng cũng hay mất giấc , k ngủ sâu được... dẫn đến tinh thần khá mệt mỏi , học hành khônh hiệu quả ... chị có thể chia sẻ cách giúp có tinh thần tốt nhất được không ạ ... em cảm ơn chị 😘"
train,17107,0.625,emoji_POS->gold_NEG,POS,sadness,NEG,♥️,"Buồn, thương ♥️"
train,4272,0.6078,emoji_NEG->gold_POS,NEG,interest,POS,😑 😑 😑,tao đang thă ́ c mă ́ c ta ̣ i sao thă ̀ người da đen no ́ quen được con nho ̉ da tră ́ người ngon va ̃ i thê ́ nhy ̃. 😑😑😑
train,2478,0.6078,emoji_NEG->gold_POS,NEG,interest,POS,😑,đồng nghiệp của tôi là ai 😑
train,620,0.6078,emoji_NEG->gold_POS,NEG,interest,POS,😑,khúc mắc cười đoạn nào vậy 😑
train,5378,0.6078,emoji_NEG->gold_POS,NEG,positive,POS,😑,"kết nó ở cái câu "" đất nước gia lai là một đất nước giàu tài nguyên , có anh per ""😑"
train,6305,0.6078,emoji_NEG->gold_POS,NEG,positive,POS,😑,"tốt nhất là đừng crush ai ngoài bản thân ra cả , để khi nhớ thì chỉ cần lấy gương ra nhìn cái là được 😑"
val,2968,0.6078,emoji_NEG->gold_POS,NEG,interest,POS,😑 😑,giống tao thế nhỉ ! 😑😑
test,3900,0.6078,emoji_NEG->gold_POS,NEG,positive,POS,😑 😑 😑,quá kinh ngạc phá được mọi loại khóa luôn 😑😑😑
train,5919,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,cắt . cảm ơn đoạn giả dối kia đã giúp các bạn trẻ có thêm niềm tin về 1 tình yêu đẹp 🤣🤣 riêng tao đéo tin nhé
train,25703,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Vũ Tũnn lại cái văn đổ thừa của bọn thất bại này 🤣
train,13365,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Mei Nguyen ẻ chảy còn mệt hơn ấy.mất nước thì ng như đi mượn .nói chung ẻ kiểu gì cũng mệt 🤣
train,26932,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,"Trần Xuân Biên bạn cứ thoải mái, tôi có là gì đâu mà cho phép vs chả k 🤣"
train,4377,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,ôi đàn bà là những niềm đau 🤣
train,1308,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,trai tài gái sắc .. danh ngôn rồi tài sản chứ tài gì !! 🤣🤣
train,1621,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,"ngày trước cái thằng ngồi cạnh nhờ nó né cái mông để lấy cái bút dưới bàn nó nó đéo né . cuối cùng nó phải lên phòng ý tế băng đầu ( lớp 1 🤣) "" tôi đã nợ chàng trai ấy một cái "" đập đầu "" ""🤣"
train,22039,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣 🤣 🤣,"Huyền Diệp  đúng rồi, nhất là các thể loại vào cửa hàng tiện lợi hay siêu thị ấy, thay vì tự trông con lại còn bắt nhân viên trông dùm nữa, con làm hư đồ, check cam rõ ràng còn đổ thừa do nv cửa hàng đc mà
🤣🤣🤣🤣"
train,17259,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,"Chí Cương đúng là k nên đánh giá qua những gì mình thấy trước mắt
Vậy bạn thấy gì ở bức ảnh
Bạn thấy đc sự mệt mỏi thấy đc sự áp lực à
Hay thằng trong ảnh tâm sự với bạn. 
🤣🤣 Ôi từ khi nào mà 1 bức ảnh ngồi ghế đc quy nạp là áp lực cột sống z"
train,30176,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Làm cái đơn phá hoại tài sản. Tạm giam vài tháng. Người nhà nó qua năn nỉ rút đơn thì lúc đó tha hồ dựng rạp. Dựng vô nhà nó luôn cũng đc 🤣
train,11602,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣 🤣,""" thằng"" này nó đang bực vợ nó.đấm đau thật...🤣🤣🤣"
train,27302,0.5842,emoji_POS->gold_NEG,POS,fear,NEG,🤣,Hai Yen thề chứ đêm đang ngủ nghe bọn mèo nó gào rồi phá trên mái nhà là nằm im ko nhúc nhích luôn🤣 hồi đó còn bé yếu bóng vía nghe sợ muốn chết
train,11780,0.5842,emoji_POS->gold_NEG,POS,sadness,NEG,🤣 🤣 🤣 🤣,Tự mình thương mình thôi.đợi ngta thương thì chắc phải tu 10 kiếp.🤣🤣🤣🤣
train,2307,0.5842,emoji_POS->gold_NEG,POS,sadness,NEG,🤣,"bạn bè thì nó hỏi han , hay nhắn tin thôi .. hồi trước hay ảo tưởng lắm , nhưng giờ lớn nên hết trẻ trâu rồi 🤣"
train,28879,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣 🤣,Tại xe cấp cứu làm chậm việc làm ăn của nó nên nó cay á 🤣🤣🤣
train,11518,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Hà Công Thắng đúng này bọn nữ quyền momx bênh mãnh liệt lắm cứ như bênh bme nó vậy 🤣
train,29312,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Vuong Nguyen thông tin ở đâu thế 🤣 thấy nó phá xe là dở rồi
train,4044,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,per bị chữi thì ráng nghe mà vui đi nghe . cứ như nghe hát miễn phí 🤣🤣 còn bị chữi là còn hạnh phúc . nguoi ngoài ngọt ngào nhưng chắc gì đã thật lòng đâu
train,18940,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,Học sinh lớp 6 đang học thơ thì bị bắt đi ăn mù tạt🤣🤣
train,18960,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,"ở tập thơ riêng của ông thì kệ ông, đưa vào SGK người ta mới kêu chứ 🤣"
train,tik012293,0.5842,emoji_POS->gold_NEG,POS,sadness,NEG,🤣,"Hối hận vì ko nghe lời bme,cứ nhất quyết Lấy ngta vì Yêu. Đến khi mk gặp khó khăn thì nhắm mắt làm ngơ như 2 kẻ xa lạ.trong khi mk sẵn sàng đồng cam cạnh khổ vì ngta .🤣thật trớ trêu"
train,12522,0.5842,emoji_POS->gold_NEG,POS,sadness,NEG,🤣,Bố Mẹ đặt gánh nặng học hành lên vai von cái điều này xảy ra ở ko ít gia đình 🤣
train,30858,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣 🤣,Thà đi vòng 5 10km chứ đéo chơi ngu nv🤣🤣🤣
train,6030,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,tao bướng nhưng mặt đéo đến nỗi như con bé kia 🤣
train,13340,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Trang Nguyễn thôi chúc nó ỉa chảy ngày 10 lần đến hết đời là dc. Chứ chết thì tội lắm.🤣
train,827,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣 🤣,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣
train,13373,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣 🤣 🤣 🤣 🤣,"Đây là lí do vì sao t chạy xe ôm bao nhiêu năm mà không bao h nhận đơn đồ ăn, vì nhiều ng hãm lắm luôn 🤣🤣🤣 chở gái hay chở đồ còn thích hơn 🤣🤣🤣"
train,23430,0.5842,emoji_POS->gold_NEG,POS,fear,NEG,🤣,"Nguyễn Uyên thật nha má, t mua xong t cũng phải giấu trong cặp. Chả hiểu🤣"
train,33312,0.5842,emoji_POS->gold_NEG,POS,sadness,NEG,🤣,Ưn Chi định up lên cho thiện hạ bênh cơ mà ko thành à 🤣
train,33285,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Đm gặp tao thì m1 năm sau la giỗ đầu của c chứ đéo đc tới rằm đâu 🤣
train,13364,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,Hồng Phạm cuộc đời toàn cứt vs đái ko vậy 🤣🤣
train,16686,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,Thương thì thương nhưng vẫn phải than bả nói nhiều 🤣🤣
train,19347,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,"Andy Lam cũng là có qua có lại, đâm đầu dô mấy chỗ này thì phải biết trước kq là như dậy , khóc gì 🤣"
train,23061,0.5842,emoji_POS->gold_NEG,POS,fear,NEG,🤣,Hưng Táo sợ quá nhể 🤣
train,2895,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,tình yêu là lời nói dối của 1 thằng khùng được tin bởi 1 con ngu 🤣🤣
train,29663,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣 🤣,Đọc bình luận thấy vẫn nhiều người chê xe VF. Giờ VF chạy đầy đường rồi chắc tức lắm nhỉ 🤣🤣
train,18938,0.5842,emoji_POS->gold_NEG,POS,anger,NEG,🤣,Này mà gọi là thơ à 🤣
